
['data_5min/xrp_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '0.768', '448', '150', '28.57142857142857', '33.482142857142854', '4.910714285714285', '1925.0']
['data_5min/xrp_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.272', '0.768', '1041', '415', '37.11538461538461', '39.8655139289145', '2.7501293135298894', '1928.3678756476693']
['data_5min/xrp_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '1', '1024', '437', '39.30817610062893', '42.67578125', '3.367605149371073', '2193.2000000000007']
['data_5min/xrp_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '1', '1217', '658', '50.0', '54.06737880032868', '4.067378800328683', '2475.0']
['data_5min/xrp_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.272', '0.768', '715', '210', '25.769230769230766', '29.37062937062937', '3.6013986013986035', '2498.13432835821']
['data_5min/xrp_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '1', '1103', '521', '42.73504273504274', '47.23481414324569', '4.499771408202953', '2903.5']
['data_5min/xrp_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.768', '1141', '336', '25.769230769230766', '29.447852760736197', '3.6786219915054303', '4072.014925373136']

['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '0.618', '110', '36', '19.093851132686083', '32.72727272727273', '13.633421594586643', '1963.5593220338988']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '0', '1', '1101', '731', '61.8', '66.39418710263398', '4.594187102633981', '2046.1974110032352']
['data_5min/sol_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.382', '-0.17', '1', '923', '532', '52.820512820512825', '57.63813651137595', '4.8176236908631225', '2104.611650485438']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '164', '33', '13.258426966292133', '20.121951219512198', '6.863524253220065', '2122.4576271186443']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '1', '573', '333', '50.0', '58.1151832460733', '8.1151832460733', '2325.0']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.17', '1', '1022', '589', '52.820512820512825', '57.6320939334638', '4.811581112950975', '2327.4271844660198']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '0', '0.768', '712', '408', '50.260416666666664', '57.30337078651685', '7.042954119850187', '2494.3005181347144']
['data_5min/sol_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.382', '0', '0.768', '1025', '567', '50.260416666666664', '55.31707317073171', '5.056656504065046', '2578.108808290155']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.272', '1', '986', '533', '48.58490566037736', '54.056795131845846', '5.4718894714684865', '2776.213592233009']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.17', '0.768', '684', '330', '41.15138592750534', '48.24561403508772', '7.094228107582381', '2947.927461139896']
['data_5min/sol_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.382', '-0.17', '0.768', '956', '442', '41.15138592750534', '46.23430962343097', '5.082923695925629', '2952.072538860104']
['data_5min/sol_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.382', '-0.272', '1', '883', '488', '48.58490566037736', '55.26613816534541', '6.681232504968051', '3035.6796116504847']
['data_5min/sol_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.382', '-0.272', '0.618', '521', '173', '26.516853932584265', '33.20537428023032', '6.688520347646058', '3285.3813559322043']
['data_5min/sol_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.382', '-0.272', '0.768', '922', '392', '37.11538461538461', '42.51626898047722', '5.400884365092608', '3354.145077720208']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.272', '0.768', '668', '298', '37.11538461538461', '44.61077844311377', '7.49539382772916', '3372.5388601036266']

['data_5min/matic_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.382', '0', '0.768', '1035', '539', '50.260416666666664', '52.07729468599034', '1.8168780193236742', '935.3626943005183']
['data_5min/matic_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.382', '0', '0.618', '979', '395', '38.18770226537217', '40.34729315628192', '2.1595908909097545', '1384.110169491527']
['data_5min/matic_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '-0.272', '0.768', '913', '255', '25.769230769230766', '27.92990142387733', '2.1606706546465624', '1913.805970149253']
['data_5min/matic_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '941', '142', '13.258426966292133', '15.090329436769395', '1.831902470477262', '3250.423728813559']

['data_5min/link_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '1', '1799', '814', '42.73504273504274', '45.24735964424681', '2.512316909204067', '2644.0']
['data_5min/link_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.768', '1455', '403', '25.769230769230766', '27.697594501718214', '1.9283637324874476', '2722.014925373136']
['data_5min/link_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '0', '0.768', '1092', '421', '34.895833333333336', '38.553113553113555', '3.657280219780219', '2861.1940298507434']
['data_5min/link_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '0.768', '1533', '471', '28.57142857142857', '30.724070450097845', '2.152641878669275', '2887.5']
['data_5min/link_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.17', '0.768', '1532', '474', '28.57142857142857', '30.93994778067885', '2.3685192092502803', '3175.0']
['data_5min/link_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '1', '1579', '855', '50.0', '54.14819506016466', '4.14819506016466', '3275.0']
['data_5min/link_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '1', '1975', '1056', '50.0', '53.46835443037975', '3.4683544303797476', '3425.0']
['data_5min/link_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.768', '1651', '628', '34.895833333333336', '38.037552998182925', '3.141719664849589', '3716.044776119401']
['data_5min/link_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.17', '0.618', '1581', '263', '14.9746192893401', '16.635041113219483', '1.6604218238793838', '4382.627118644072']
['data_5min/link_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '1667', '246', '13.258426966292133', '14.757048590281943', '1.498621623989811', '4710.593220338982']
['data_5min/link_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '1510', '227', '13.258426966292133', '15.033112582781458', '1.7746856164893252', '5052.966101694918']
['data_5min/link_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '982', '165', '13.258426966292133', '16.802443991853362', '3.5440170255612298', '6562.288135593222']
['data_5min/link_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '-0.17', '0.618', '1031', '196', '14.9746192893401', '19.01066925315228', '4.0360499638121805', '6947.03389830509']

['data_5min/dot_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.17', '0.768', '744', '323', '41.15138592750534', '43.413978494623656', '2.2625925671183182', '1022.6683937823836']
['data_5min/dot_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '1', '823', '341', '39.30817610062893', '41.43377885783718', '2.125602757208256', '1112.6000000000004']
['data_5min/dot_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.768', '783', '289', '34.895833333333336', '36.90932311621967', '2.0134897828863316', '1129.4776119402977']
['data_5min/dot_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.272', '1', '651', '274', '39.30817610062893', '42.08909370199693', '2.780917601368003', '1151.3999999999996']
['data_5min/dot_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.382', '0', '0.768', '455', '254', '50.260416666666664', '55.824175824175825', '5.5637591575091605', '1259.1968911917093']
['data_5min/dot_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.17', '0.768', '733', '226', '28.57142857142857', '30.832196452933154', '2.2607678815045844', '1450.0']
['data_5min/dot_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '1', '873', '399', '42.73504273504274', '45.70446735395189', '2.9694246189091515', '1516.5']
['data_5min/dot_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.272', '0.768', '700', '198', '25.769230769230766', '28.285714285714285', '2.516483516483518', '1708.9552238805973']
['data_5min/dot_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.768', '903', '252', '25.769230769230766', '27.906976744186046', '2.13774597495528', '1872.761194029852']
['data_5min/dot_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '0.768', '947', '293', '28.57142857142857', '30.93980992608237', '2.368381354653799', '1962.5']

['data_5min/atom_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '0.768', '1255', '393', '28.57142857142857', '31.314741035856574', '2.743312464428005', '3012.5']
['data_5min/atom_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '0.618', '573', '104', '14.9746192893401', '18.1500872600349', '3.175467970694802', '3037.7118644067814']
['data_5min/atom_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '1', '1294', '710', '50.0', '54.86862442040186', '4.868624420401858', '3150.0']
['data_5min/atom_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '1', '1715', '921', '50.0', '53.70262390670554', '3.70262390670554', '3175.0']
['data_5min/atom_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '0', '0.768', '1182', '458', '34.895833333333336', '38.74788494077834', '3.8520516074450057', '3261.9402985074594']
['data_5min/atom_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '0.618', '610', '143', '19.093851132686083', '23.442622950819672', '4.348771818133589', '3473.3050847457635']
['data_5min/atom_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.17', '0.768', '1314', '418', '28.57142857142857', '31.81126331811263', '3.2398347466840605', '3725.0']
['data_5min/atom_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.17', '0.618', '1360', '232', '14.9746192893401', '17.058823529411764', '2.0842042400716654', '4732.203389830516']
['data_5min/atom_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.272', '0.768', '1261', '377', '25.769230769230766', '29.896907216494846', '4.127676447264079', '5049.626865671642']
['data_5min/atom_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.768', '1798', '698', '34.895833333333336', '38.82091212458287', '3.9250787912495326', '5055.970149253728']
['data_5min/atom_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '1317', '203', '13.258426966292133', '15.413819286256643', '2.155392319964511', '5352.542372881355']
['data_5min/atom_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '0.768', '1404', '570', '34.895833333333336', '40.598290598290596', '5.7024572649572605', '5735.820895522385']
['data_5min/atom_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.618', '1481', '327', '19.093851132686083', '22.079675894665765', '2.985824761979682', '5789.830508474581']

['data_5min/apt_usd_5min_data2.csv', '0.015', '0.065', '81', '8', '3', '0.382', '0', '0.768', '62', '39', '50.260416666666664', '62.903225806451616', '12.642809139784951', '389.8963730569948']
['data_5min/apt_usd_5min_data2.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '208', '30', '13.258426966292133', '14.423076923076922', '1.164649956784789', '456.77966101694983']
['data_5min/apt_usd_5min_data2.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.272', '0.618', '57', '20', '26.516853932584265', '35.08771929824561', '8.570865365661344', '460.5932203389832']
['data_5min/apt_usd_5min_data2.csv', '0.015', '0.065', '81', '8', '3', '0.382', '0', '0.618', '63', '32', '38.18770226537217', '50.79365079365079', '12.605948528278624', '519.9152542372883']
['data_5min/apt_usd_5min_data2.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '0.768', '88', '38', '34.895833333333336', '43.18181818181818', '8.285984848484844', '522.3880597014925']
['data_5min/apt_usd_5min_data2.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '871', '120', '13.258426966292133', '13.777267508610791', '0.5188405423186584', '852.1186440677993']
['data_5min/apt_usd_5min_data2.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.768', '963', '348', '34.895833333333336', '36.13707165109034', '1.241238317757002', '856.3432835820877']
['data_5min/apt_usd_5min_data2.csv', '0.035', '0.065', '81', '8', '3', '0.5', '0', '0.618', '754', '153', '19.093851132686083', '20.291777188328915', '1.1979260556428315', '1182.627118644068']

['data_5min/ada_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.768', '1199', '440', '34.895833333333336', '36.69724770642202', '1.801414373088683', '1547.3880597014904']
['data_5min/ada_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '487', '73', '13.258426966292133', '14.989733059548255', '1.7313060932561228', '1589.830508474577']
['data_5min/ada_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '1', '1304', '684', '50.0', '52.45398773006135', '2.4539877300613497', '1600.0']
['data_5min/ada_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '0', '1', '1603', '1032', '61.8', '64.37928883343731', '2.5792888334373174', '1672.5728155339802']
['data_5min/ada_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.17', '0.618', '1286', '203', '14.9746192893401', '15.78538102643857', '0.8107617370984705', '1740.677966101699']
['data_5min/ada_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '1', '1943', '1036', '50.0', '53.319608852290266', '3.3196088522902656', '3225.0']
['data_5min/ada_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '1237', '182', '13.258426966292133', '14.713015359741311', '1.4545883934491783', '3392.7966101694947']

RSI Divergence

Hammer Candle
['data_5min/xrp_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '-0.272', '0.768', '261', '78', '25.769230769230766', '29.88505747126437', '4.115826702033605', '1042.1641791044776']
['data_5min/xrp_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.768', '482', '183', '34.895833333333336', '37.96680497925311', '3.0709716459197764', '1060.4477611940292']
['data_5min/xrp_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '1', '722', '384', '50.0', '53.18559556786704', '3.18559556786704', '1150.0']
['data_5min/xrp_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '0', '0.768', '613', '335', '50.260416666666664', '54.64926590538336', '4.388849238716695', '1338.2124352331612']
['data_5min/xrp_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '-0.17', '0.768', '286', '98', '28.57142857142857', '34.26573426573427', '5.694305694305697', '1425.0']
['data_5min/xrp_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '0.768', '757', '288', '34.895833333333336', '38.0449141347424', '3.149080801409063', '1707.8358208955215']
['data_5min/xrp_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.272', '0.768', '418', '128', '25.769230769230766', '30.62200956937799', '4.852778800147224', '1967.9104477611945']
['data_5min/xrp_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.17', '0.768', '453', '152', '28.57142857142857', '33.554083885209714', '4.9826553137811445', '1975.0']
['data_5min/xrp_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '0.768', '694', '223', '28.57142857142857', '32.13256484149856', '3.561136270069987', '2162.5']

