['36', '0.04', '16', '0.04', '0.1', '52', 'False', '89', '81', '8', '38', '16', '27', '91.01123595505618', '113945.96278425306']
['36', '0.04', '16', '0.04', '0.1', '52', 'True', '89', '81', '8', '38', '16', '27', '91.01123595505618', '113945.96278425306']
['36', '0.05', '16', '0.04', '0.1', '52', 'False', '95', '86', '9', '41', '18', '27', '90.52631578947368', '165654.0529158339']
['36', '0.05', '16', '0.04', '0.1', '52', 'True', '95', '86', '9', '41', '18', '27', '90.52631578947368', '165654.0529158339']
['24', '0.04', '16', '0.04', '0.1', '52', 'False', '99', '90', '9', '42', '20', '28', '90.9090909090909', '172184.65651669353']
['24', '0.04', '16', '0.04', '0.1', '52', 'True', '99', '90', '9', '42', '20', '28', '90.9090909090909', '172184.65651669353']
['24', '0.05', '16', '0.04', '0.1', '52', 'False', '107', '97', '10', '46', '22', '29', '90.65420560747664', '293386.38332331553']
['24', '0.05', '16', '0.04', '0.1', '52', 'True', '107', '97', '10', '46', '22', '29', '90.65420560747664', '293386.38332331553']


['24', '0.05', '12', '0.04', '0.1', '52', 'False', '109', '98', '11', '46', '23', '29', '89.90825688073394', '208693.8627646193']
['24', '0.06', '12', '0.04', '0.1', '52', 'False', '109', '98', '11', '46', '23', '29', '89.90825688073394', '208693.8627646193']
['24', '0.06', '20', '0.04', '0.08', '52', 'False', '97', '89', '8', '37', '24', '28', '91.75257731958763', '209391.18393419683']
['36', '0.06', '16', '0.04', '0.1', '46', 'False', '98', '89', '9', '44', '19', '26', '90.81632653061224', '213721.98180234432']
['24', '0.06', '20', '0.04', '0.1', '52', 'False', '110', '99', '11', '47', '23', '29', '90.0', '225652.7854777854']
['24', '0.05', '12', '0.04', '0.1', '46', 'False', '110', '99', '11', '48', '23', '28', '90.0', '227456.71883139387']
['24', '0.06', '12', '0.04', '0.1', '46', 'False', '110', '99', '11', '48', '23', '28', '90.0', '227456.71883139387']
['24', '0.05', '12', '0.04', '0.08', '46', 'False', '98', '90', '8', '38', '25', '27', '91.83673469387756', '233736.93415004387']
['24', '0.06', '12', '0.04', '0.08', '46', 'False', '98', '90', '8', '38', '25', '27', '91.83673469387756', '233736.93415004387']
['24', '0.06', '16', '0.04', '0.08', '46', 'False', '98', '90', '8', '38', '25', '27', '91.83673469387756', '233736.93415005505']
['24', '0.06', '20', '0.04', '0.1', '46', 'False', '111', '100', '11', '49', '23', '28', '90.09009009009009', '245933.08140530065']
['24', '0.06', '20', '0.04', '0.08', '46', 'False', '99', '91', '8', '39', '25', '27', '91.91919191919192', '252721.20708816312']
['24', '0.05', '20', '0.04', '0.1', '52', 'False', '107', '97', '10', '47', '22', '28', '90.65420560747664', '292347.4057924114']
['24', '0.05', '16', '0.04', '0.1', '52', 'False', '107', '97', '10', '46', '22', '29', '90.65420560747664', '293386.38332331553']
['24', '0.05', '20', '0.04', '0.1', '46', 'False', '108', '98', '10', '49', '22', '27', '90.74074074074075', '318595.3611683324']
['24', '0.05', '16', '0.04', '0.1', '46', 'False', '108', '98', '10', '48', '22', '28', '90.74074074074075', '319727.3036797624']
['24', '0.06', '16', '0.04', '0.1', '52', 'False', '109', '99', '10', '47', '23', '29', '90.82568807339449', '347144.97407681495']
['24', '0.06', '16', '0.04', '0.1', '46', 'False', '109', '100', '9', '49', '23', '28', '91.74311926605505', '600044.3829933163']
ADA
['24', '0.05', '20', '0.04', '0.1', '52', 'False', '211', '177', '34', '87', '47', '43', '83.88625592417061', '11541.437939427793']
['24', '0.05', '20', '0.04', '0.1', '40', 'False', '220', '185', '35', '90', '50', '45', '84.0909090909091', '13072.993109771982']
['36', '0.05', '20', '0.04', '0.1', '52', 'False', '188', '159', '29', '76', '43', '40', '84.57446808510637', '17615.511450070888']
['36', '0.05', '20', '0.04', '0.1', '40', 'False', '198', '168', '30', '80', '46', '42', '84.84848484848484', '21578.207248399034']
['24', '0.05', '20', '0.04', '0.1', '46', 'False', '216', '183', '33', '90', '49', '44', '84.72222222222221', '28557.977573283017']
['36', '0.05', '20', '0.04', '0.1', '46', 'False', '193', '165', '28', '79', '45', '41', '85.49222797927462', '42873.5073772762']
APT
['24', '0.05', '20', '0.04', '0.1', '40', 'False', '106', '90', '16', '33', '32', '25', '84.90566037735849', '8981.626676915213']
['24', '0.05', '20', '0.04', '0.1', '52', 'False', '104', '89', '15', '31', '33', '25', '85.57692307692307', '11295.299296177924']
['24', '0.05', '16', '0.04', '0.1', '40', 'False', '109', '93', '16', '35', '32', '26', '85.3211009174312', '13231.20714742504']
['24', '0.05', '20', '0.04', '0.1', '46', 'False', '105', '90', '15', '32', '33', '25', '85.71428571428571', '14526.038000965491']
['24', '0.05', '16', '0.04', '0.1', '52', 'False', '106', '91', '15', '32', '33', '26', '85.84905660377359', '14886.951646076515']
['24', '0.05', '16', '0.04', '0.1', '46', 'False', '107', '92', '15', '33', '33', '26', '85.98130841121495', '19061.440476953983']
AVAX
['36', '0.05', '16', '0.04', '0.1', '40', 'False', '96', '76', '20', '23', '27', '26', '79.16666666666666', '30.84063941054046']
['36', '0.05', '20', '0.04', '0.1', '40', 'False', '88', '70', '18', '22', '24', '24', '79.54545454545455', '424.6633164063096']
ATOM
['24', '0.06', '20', '0.04', '0.1', '46', 'False', '109', '89', '20', '39', '24', '26', '81.65137614678899', '221.60275485552847']
['24', '0.06', '20', '0.04', '0.1', '52', 'False', '109', '89', '20', '40', '24', '25', '81.65137614678899', '228.42500496283174']
['24', '0.06', '16', '0.04', '0.1', '40', 'False', '109', '89', '20', '40', '25', '24', '81.65137614678899', '274.4918657913804']
['24', '0.06', '16', '0.04', '0.1', '46', 'False', '109', '90', '19', '40', '25', '25', '82.56880733944955', '1020.5722564384341']
['24', '0.06', '16', '0.04', '0.1', '52', 'False', '109', '90', '19', '41', '25', '24', '82.56880733944955', '1031.8564887531102']
DOT
['24', '0.06', '20', '0.04', '0.1', '40', 'False', '118', '97', '21', '43', '34', '20', '82.20338983050848', '14502.201386820525']
['36', '0.06', '16', '0.04', '0.1', '52', 'False', '103', '85', '18', '40', '29', '16', '82.52427184466019', '14608.147786092013']
['36', '0.05', '16', '0.04', '0.1', '52', 'False', '101', '84', '17', '39', '29', '16', '83.16831683168317', '14657.73322041519']
['36', '0.05', '20', '0.04', '0.1', '52', 'False', '101', '84', '17', '39', '29', '16', '83.16831683168317', '14657.73322041519']
['24', '0.06', '16', '0.04', '0.1', '40', 'False', '119', '98', '21', '44', '34', '20', '82.35294117647058', '16867.49555447325']
['24', '0.05', '16', '0.04', '0.1', '40', 'False', '117', '97', '20', '43', '34', '20', '82.90598290598291', '16924.258697656915']
['24', '0.05', '20', '0.04', '0.1', '40', 'False', '117', '97', '20', '43', '34', '20', '82.90598290598291', '16924.258697656915']
['36', '0.06', '20', '0.04', '0.1', '40', 'False', '107', '89', '18', '41', '31', '17', '83.17757009345794', '22783.289000542834']
['36', '0.06', '16', '0.04', '0.1', '40', 'False', '108', '90', '18', '42', '31', '17', '83.33333333333334', '26412.094571899623']
['36', '0.05', '16', '0.04', '0.1', '40', 'False', '106', '89', '17', '41', '31', '17', '83.9622641509434', '26499.179896403104']
['36', '0.05', '20', '0.04', '0.1', '40', 'False', '106', '89', '17', '41', '31', '17', '83.9622641509434', '26499.179896403104']
LINK
['24', '0.05', '16', '0.04', '0.1', '40', 'False', '114', '97', '17', '40', '35', '22', '85.08771929824562', '14324.664009628817']
['36', '0.06', '16', '0.04', '0.1', '46', 'False', '109', '93', '16', '34', '35', '24', '85.3211009174312', '14353.783126942813']
['24', '0.06', '20', '0.04', '0.1', '40', 'False', '117', '100', '17', '40', '37', '23', '85.47008547008546', '19915.759741708636']
['36', '0.05', '20', '0.04', '0.1', '40', 'False', '107', '92', '15', '36', '33', '23', '85.98130841121495', '20767.28142305091']
['36', '0.05', '16', '0.04', '0.1', '40', 'False', '108', '93', '15', '36', '34', '23', '86.11111111111111', '23276.37441424094']
['24', '0.06', '16', '0.04', '0.1', '40', 'False', '121', '104', '17', '40', '38', '26', '85.9504132231405', '27133.61659165658']
['36', '0.06', '20', '0.04', '0.1', '40', 'False', '111', '96', '15', '36', '36', '24', '86.48648648648648', '32133.438640421256']
['36', '0.06', '16', '0.04', '0.1', '40', 'False', '113', '98', '15', '36', '37', '25', '86.72566371681415', '37574.28834418021']
LTC
['24', '0.05', '20', '0.04', '0.1', '52', 'False', '88', '71', '17', '29', '29', '13', '80.68181818181817', '619.91814205423']
['24', '0.06', '16', '0.04', '0.1', '52', 'False', '93', '75', '18', '32', '30', '13', '80.64516129032258', '707.0936156269163']
['24', '0.05', '20', '0.04', '0.1', '46', 'False', '89', '72', '17', '29', '29', '14', '80.89887640449437', '778.0089504737407']
['24', '0.06', '16', '0.04', '0.1', '46', 'False', '94', '76', '18', '32', '30', '14', '80.85106382978722', '873.6920397989452']
['24', '0.05', '20', '0.04', '0.1', '40', 'False', '91', '74', '17', '30', '30', '14', '81.31868131868131', '1058.3674299232662']
['24', '0.06', '16', '0.04', '0.1', '40', 'False', '96', '78', '18', '33', '31', '14', '81.25', '1169.137937899679']
['24', '0.06', '20', '0.04', '0.1', '52', 'False', '92', '75', '17', '33', '29', '13', '81.52173913043478', '1211.0289684534073']
['24', '0.06', '20', '0.04', '0.1', '46', 'False', '93', '76', '17', '33', '29', '14', '81.72043010752688', '1426.8073760084808']
['24', '0.06', '20', '0.04', '0.1', '40', 'False', '95', '78', '17', '34', '30', '14', '82.10526315789474', '1809.4691312722862']
ALL MATIC
['36', '0.05', '16', '0.04', '0.1', '46', 'False', '203', '170', '33', '80', '47', '43', '83.74384236453201', '9271.420248160139']
['24', '0.05', '20', '0.04', '0.1', '52', 'False', '211', '177', '34', '87', '47', '43', '83.88625592417061', '11541.437939427793']
['24', '0.05', '20', '0.04', '0.1', '40', 'False', '220', '185', '35', '90', '50', '45', '84.0909090909091', '13072.993109771982']
['36', '0.05', '20', '0.04', '0.1', '52', 'False', '188', '159', '29', '76', '43', '40', '84.57446808510637', '17615.511450070888']
['36', '0.05', '20', '0.04', '0.1', '40', 'False', '198', '168', '30', '80', '46', '42', '84.84848484848484', '21578.207248399034']
['24', '0.05', '20', '0.04', '0.1', '46', 'False', '216', '183', '33', '90', '49', '44', '84.72222222222221', '28557.977573283017']
['36', '0.05', '20', '0.04', '0.1', '46', 'False', '193', '165', '28', '79', '45', '41', '85.49222797927462', '42873.5073772762']
